Time,PosX,PosY,PosZ,VelX,VelY,VelZ,ForceX,ForceY,ForceZ,Action1,Action2,Action3
3.44,0.009,0.6695,0.4421,0.0021,-0.0052,-0.0622,-0.0001,0.0001,0.0021,0.1606,-1.4136,-2.8689
3.46,0.009,0.6694,0.4409,0.0021,-0.0052,-0.062,-0.0001,0.0001,0.002,,,
3.46,0.009,0.6694,0.4409,0.0021,-0.0052,-0.062,-0.0001,0.0001,0.002,0.1611,-1.4136,-2.8702
3.48,0.0091,0.6693,0.4396,0.002,-0.0052,-0.0618,-0.0001,0.0001,0.002,,,
3.48,0.0091,0.6693,0.4396,0.002,-0.0052,-0.0618,-0.0001,0.0001,0.002,0.1614,-1.4137,-2.8713
3.5,0.0091,0.6691,0.4383,0.002,-0.0051,-0.0616,-0.0001,0.0001,0.0019,,,
3.5,0.0091,0.6691,0.4383,0.002,-0.0051,-0.0616,-0.0001,0.0001,0.0019,0.1618,-1.4136,-2.8726
3.52,0.0092,0.669,0.4371,0.002,-0.0051,-0.0614,-0.0001,0.0001,0.0019,,,
3.52,0.0092,0.669,0.4371,0.002,-0.0051,-0.0614,-0.0001,0.0001,0.0019,0.1622,-1.4137,-2.8737
3.54,0.0092,0.6689,0.4358,0.002,-0.0051,-0.0612,-0.0001,0.0001,0.0018,,,
3.54,0.0092,0.6689,0.4358,0.002,-0.0051,-0.0612,-0.0001,0.0001,0.0018,0.1625,-1.4137,-2.8748
3.56,0.0093,0.6688,0.4346,0.002,-0.0051,-0.061,-0.0001,0.0001,0.0018,,,
3.56,0.0093,0.6688,0.4346,0.002,-0.0051,-0.061,-0.0001,0.0001,0.0018,0.1628,-1.4136,-2.8759
3.58,0.0093,0.6686,0.4333,0.002,-0.0051,-0.0609,-0.0001,0.0001,0.0018,,,
3.58,0.0093,0.6686,0.4333,0.002,-0.0051,-0.0609,-0.0001,0.0001,0.0018,0.1633,-1.4135,-2.8772
3.6,0.0093,0.6685,0.4321,0.002,-0.0051,-0.0607,-0.0001,0.0001,0.0017,,,
3.6,0.0093,0.6685,0.4321,0.002,-0.0051,-0.0607,-0.0001,0.0001,0.0017,0.1637,-1.4134,-2.8783
3.62,0.0094,0.6684,0.4308,0.002,-0.0051,-0.0605,-0.0001,0.0001,0.0017,,,
3.62,0.0094,0.6684,0.4308,0.002,-0.0051,-0.0605,-0.0001,0.0001,0.0017,0.1639,-1.4134,-2.8793
3.64,0.0094,0.6683,0.4296,0.002,-0.0051,-0.0604,-0.0001,0.0001,0.0016,,,
3.64,0.0094,0.6683,0.4296,0.002,-0.0051,-0.0604,-0.0001,0.0001,0.0016,0.1643,-1.4133,-2.8805
3.66,0.0095,0.6681,0.4284,0.002,-0.0051,-0.0602,-0.0001,0,0.0016,,,
3.66,0.0095,0.6681,0.4284,0.002,-0.0051,-0.0602,-0.0001,0,0.0016,0.1645,-1.4132,-2.8815
3.68,0.0095,0.668,0.4271,0.002,-0.0051,-0.06,-0.0001,0.0001,0.0016,,,
3.68,0.0095,0.668,0.4271,0.002,-0.0051,-0.06,-0.0001,0.0001,0.0016,0.165,-1.413,-2.8828
3.7,0.0096,0.6679,0.4259,0.002,-0.0051,-0.0599,-0.0001,0,0.0015,,,
3.7,0.0096,0.6679,0.4259,0.002,-0.0051,-0.0599,-0.0001,0,0.0015,0.1652,-1.413,-2.8837
3.72,0.0096,0.6678,0.4247,0.002,-0.0051,-0.0597,-0.0001,0,0.0015,,,
3.72,0.0096,0.6678,0.4247,0.002,-0.0051,-0.0597,-0.0001,0,0.0015,0.1655,-1.4128,-2.8848
3.74,0.0096,0.6677,0.4235,0.0019,-0.0051,-0.0596,-0.0001,0.0001,0.0015,,,
3.74,0.0096,0.6677,0.4235,0.0019,-0.0051,-0.0596,-0.0001,0.0001,0.0015,0.1659,-1.4126,-2.886
3.76,0.0097,0.6675,0.4223,0.0019,-0.0051,-0.0594,-0.0001,0,0.0014,,,
3.76,0.0097,0.6675,0.4223,0.0019,-0.0051,-0.0594,-0.0001,0,0.0014,0.166,-1.4126,-2.8869
3.78,0.0097,0.6674,0.421,0.0019,-0.005,-0.0593,-0.0001,0,0.0014,,,
3.78,0.0097,0.6674,0.421,0.0019,-0.005,-0.0593,-0.0001,0,0.0014,0.1664,-1.4124,-2.888
3.8,0.0098,0.6673,0.4198,0.0019,-0.005,-0.0592,-0.0001,0.0001,0.0014,,,
3.8,0.0098,0.6673,0.4198,0.0019,-0.005,-0.0592,-0.0001,0.0001,0.0014,0.1667,-1.4122,-2.8891
3.82,0.0098,0.6672,0.4186,0.0019,-0.005,-0.059,-0.0001,0,0.0013,,,
3.82,0.0098,0.6672,0.4186,0.0019,-0.005,-0.059,-0.0001,0,0.0013,0.1669,-1.4121,-2.89
3.84,0.0098,0.667,0.4174,0.0019,-0.005,-0.0589,-0.0001,0.0001,0.0013,,,
3.84,0.0098,0.667,0.4174,0.0019,-0.005,-0.0589,-0.0001,0.0001,0.0013,0.1672,-1.4118,-2.8912
3.86,0.0099,0.6669,0.4162,0.0019,-0.005,-0.0588,-0.0001,0,0.0013,,,
3.86,0.0099,0.6669,0.4162,0.0019,-0.005,-0.0588,-0.0001,0,0.0013,0.1675,-1.4117,-2.8922
3.88,0.0099,0.6668,0.415,0.0019,-0.005,-0.0587,-0.0001,0,0.0012,,,
3.88,0.0099,0.6668,0.415,0.0019,-0.005,-0.0587,-0.0001,0,0.0012,0.1677,-1.4115,-2.8932
3.9,0.01,0.6667,0.4138,0.0019,-0.005,-0.0585,-0.0001,0,0.0012,,,
3.9,0.01,0.6667,0.4138,0.0019,-0.005,-0.0585,-0.0001,0,0.0012,0.168,-1.4113,-2.8942
3.92,0.01,0.6666,0.4126,0.0019,-0.005,-0.0584,-0.0001,0,0.0012,,,
3.92,0.01,0.6666,0.4126,0.0019,-0.005,-0.0584,-0.0001,0,0.0012,0.1681,-1.4112,-2.8951
3.94,0.01,0.6664,0.4114,0.0019,-0.005,-0.0583,-0.0001,0,0.0012,,,
3.94,0.01,0.6664,0.4114,0.0019,-0.005,-0.0583,-0.0001,0,0.0012,0.1685,-1.4109,-2.8962
3.96,0.0101,0.6663,0.4102,0.0019,-0.005,-0.0582,-0.0001,0,0.0011,,,
3.96,0.0101,0.6663,0.4102,0.0019,-0.005,-0.0582,-0.0001,0,0.0011,0.1686,-1.4107,-2.8971
3.98,0.0101,0.6662,0.409,0.0018,-0.005,-0.0581,-0.0001,0,0.0011,,,
3.98,0.0101,0.6662,0.409,0.0018,-0.005,-0.0581,-0.0001,0,0.0011,0.1689,-1.4105,-2.8982
4,0.0102,0.6661,0.4078,0.0018,-0.005,-0.058,-0.0001,0,0.0011,,,
4,0.0102,0.6661,0.4078,0.0018,-0.005,-0.058,-0.0001,0,0.0011,0.1691,-1.4103,-2.8991
4.02,0.0102,0.6659,0.4066,0.0018,-0.005,-0.0579,-0.0001,0,0.001,,,
4.02,0.0102,0.6659,0.4066,0.0018,-0.005,-0.0579,-0.0001,0,0.001,0.1694,-1.4101,-2.9001
4.04,0.0102,0.6658,0.4055,0.0018,-0.005,-0.0578,-0.0001,0,0.001,,,
4.04,0.0102,0.6658,0.4055,0.0018,-0.005,-0.0578,-0.0001,0,0.001,0.1695,-1.4099,-2.9009
4.06,0.0103,0.6657,0.4043,0.0018,-0.005,-0.0577,-0.0001,0,0.001,,,
4.06,0.0103,0.6657,0.4043,0.0018,-0.005,-0.0577,-0.0001,0,0.001,0.1698,-1.4097,-2.902
4.08,0.0103,0.6656,0.4031,0.0018,-0.005,-0.0576,-0.0001,0,0.001,,,
4.08,0.0103,0.6656,0.4031,0.0018,-0.005,-0.0576,-0.0001,0,0.001,0.1699,-1.4095,-2.9028
4.1,0.0104,0.6655,0.4019,0.0018,-0.005,-0.0575,-0.0001,0,0.0009,,,
4.1,0.0104,0.6655,0.4019,0.0018,-0.005,-0.0575,-0.0001,0,0.0009,0.1702,-1.4092,-2.9038
4.12,0.0104,0.6653,0.4007,0.0018,-0.005,-0.0574,-0.0001,0,0.0009,,,
4.12,0.0104,0.6653,0.4007,0.0018,-0.005,-0.0574,-0.0001,0,0.0009,0.1703,-1.409,-2.9047
4.14,0.0104,0.6652,0.3996,0.0018,-0.005,-0.0573,-0.0001,0,0.0009,,,
4.14,0.0104,0.6652,0.3996,0.0018,-0.005,-0.0573,-0.0001,0,0.0009,0.1706,-1.4088,-2.9057
4.16,0.0105,0.6651,0.3984,0.0018,-0.005,-0.0572,-0.0001,0,0.0009,,,
4.16,0.0105,0.6651,0.3984,0.0018,-0.005,-0.0572,-0.0001,0,0.0009,0.1707,-1.4086,-2.9065
4.18,0.0105,0.665,0.3972,0.0018,-0.005,-0.0571,-0.0001,0,0.0009,,,
4.18,0.0105,0.665,0.3972,0.0018,-0.005,-0.0571,-0.0001,0,0.0009,0.1709,-1.4083,-2.9074
4.2,0.0106,0.6648,0.3961,0.0018,-0.005,-0.057,-0.0001,0,0.0008,,,
4.2,0.0106,0.6648,0.3961,0.0018,-0.005,-0.057,-0.0001,0,0.0008,0.1711,-1.4081,-2.9083
4.22,0.0106,0.6647,0.3949,0.0017,-0.005,-0.057,-0.0001,0,0.0008,,,
4.22,0.0106,0.6647,0.3949,0.0017,-0.005,-0.057,-0.0001,0,0.0008,0.1713,-1.4079,-2.9092
4.24,0.0106,0.6646,0.3937,0.0017,-0.005,-0.0569,-0.0001,0,0.0008,,,
4.24,0.0106,0.6646,0.3937,0.0017,-0.005,-0.0569,-0.0001,0,0.0008,0.1714,-1.4077,-2.9101
4.26,0.0107,0.6645,0.3926,0.0017,-0.005,-0.0568,-0.0001,0,0.0008,,,
4.26,0.0107,0.6645,0.3926,0.0017,-0.005,-0.0568,-0.0001,0,0.0008,0.1716,-1.4074,-2.911
4.28,0.0107,0.6644,0.3914,0.0017,-0.005,-0.0567,-0.0001,0,0.0008,,,
4.28,0.0107,0.6644,0.3914,0.0017,-0.005,-0.0567,-0.0001,0,0.0008,0.1719,-1.4071,-2.9119
4.3,0.0107,0.6642,0.3902,0.0017,-0.005,-0.0567,-0.0001,0,0.0007,,,
4.3,0.0107,0.6642,0.3902,0.0017,-0.005,-0.0567,-0.0001,0,0.0007,0.1719,-1.4069,-2.9126
4.32,0.0108,0.6641,0.3891,0.0017,-0.005,-0.0566,-0.0001,0,0.0007,,,
4.32,0.0108,0.6641,0.3891,0.0017,-0.005,-0.0566,-0.0001,0,0.0007,0.1722,-1.4067,-2.9137
4.34,0.0108,0.664,0.3879,0.0017,-0.005,-0.0565,-0.0001,0,0.0007,,,
4.34,0.0108,0.664,0.3879,0.0017,-0.005,-0.0565,-0.0001,0,0.0007,0.1722,-1.4065,-2.9143
4.36,0.0109,0.6639,0.3868,0.0017,-0.005,-0.0564,-0.0001,0,0.0007,,,
4.36,0.0109,0.6639,0.3868,0.0017,-0.005,-0.0564,-0.0001,0,0.0007,0.1724,-1.4062,-2.9153
4.38,0.0109,0.6638,0.3856,0.0017,-0.005,-0.0564,-0.0001,0,0.0007,,,
4.38,0.0109,0.6638,0.3856,0.0017,-0.005,-0.0564,-0.0001,0,0.0007,0.1726,-1.4059,-2.9161
4.4,0.0109,0.6636,0.3845,0.0017,-0.005,-0.0563,-0.0001,0,0.0006,,,
4.4,0.0109,0.6636,0.3845,0.0017,-0.005,-0.0563,-0.0001,0,0.0006,0.1727,-1.4057,-2.9169
4.42,0.011,0.6635,0.3833,0.0017,-0.005,-0.0562,-0.0001,0,0.0006,,,
4.42,0.011,0.6635,0.3833,0.0017,-0.005,-0.0562,-0.0001,0,0.0006,0.1729,-1.4055,-2.9178
4.44,0.011,0.6634,0.3822,0.0016,-0.005,-0.0562,-0.0001,0,0.0006,,,
4.44,0.011,0.6634,0.3822,0.0016,-0.005,-0.0562,-0.0001,0,0.0006,0.173,-1.4052,-2.9185
4.46,0.011,0.6633,0.381,0.0016,-0.005,-0.0561,-0.0001,0,0.0006,,,
4.46,0.011,0.6633,0.381,0.0016,-0.005,-0.0561,-0.0001,0,0.0006,0.1731,-1.405,-2.9194
4.48,0.0111,0.6631,0.3799,0.0016,-0.005,-0.0561,-0.0001,0,0.0006,,,
4.48,0.0111,0.6631,0.3799,0.0016,-0.005,-0.0561,-0.0001,0,0.0006,0.1733,-1.4047,-2.9202
4.5,0.0111,0.663,0.3787,0.0016,-0.005,-0.056,-0.0001,0,0.0006,,,
4.5,0.0111,0.663,0.3787,0.0016,-0.005,-0.056,-0.0001,0,0.0006,0.1734,-1.4045,-2.921
4.52,0.0111,0.6629,0.3776,0.0016,-0.005,-0.056,-0.0001,0,0.0006,,,
4.52,0.0111,0.6629,0.3776,0.0016,-0.005,-0.056,-0.0001,0,0.0006,0.1735,-1.4043,-2.9217
4.54,0.0112,0.6628,0.3764,0.0016,-0.005,-0.0559,-0.0001,0,0.0005,,,
4.54,0.0112,0.6628,0.3764,0.0016,-0.005,-0.0559,-0.0001,0,0.0005,0.1737,-1.404,-2.9226
4.56,0.0112,0.6627,0.3753,0.0016,-0.005,-0.0558,-0.0001,0,0.0005,,,
4.56,0.0112,0.6627,0.3753,0.0016,-0.005,-0.0558,-0.0001,0,0.0005,0.1738,-1.4038,-2.9234
4.58,0.0112,0.6625,0.3741,0.0016,-0.005,-0.0558,-0.0001,0,0.0005,,,
4.58,0.0112,0.6625,0.3741,0.0016,-0.005,-0.0558,-0.0001,0,0.0005,0.1739,-1.4035,-2.9242
4.6,0.0113,0.6624,0.373,0.0016,-0.005,-0.0557,-0.0001,0,0.0005,,,
4.6,0.0113,0.6624,0.373,0.0016,-0.005,-0.0557,-0.0001,0,0.0005,0.174,-1.4033,-2.925
4.62,0.0113,0.6623,0.3718,0.0016,-0.005,-0.0557,-0.0001,0,0.0005,,,
4.62,0.0113,0.6623,0.3718,0.0016,-0.005,-0.0557,-0.0001,0,0.0005,0.1741,-1.403,-2.9258
4.64,0.0113,0.6622,0.3707,0.0015,-0.005,-0.0556,-0.0001,0,0.0005,,,
4.64,0.0113,0.6622,0.3707,0.0015,-0.005,-0.0556,-0.0001,0,0.0005,0.1742,-1.4028,-2.9265
4.66,0.0114,0.6621,0.3696,0.0015,-0.005,-0.0556,-0.0001,0,0.0005,,,
4.66,0.0114,0.6621,0.3696,0.0015,-0.005,-0.0556,-0.0001,0,0.0005,0.1744,-1.4025,-2.9273
4.68,0.0114,0.6619,0.3684,0.0015,-0.005,-0.0556,-0.0001,0,0.0004,,,
4.68,0.0114,0.6619,0.3684,0.0015,-0.005,-0.0556,-0.0001,0,0.0004,0.1744,-1.4023,-2.928
4.7,0.0114,0.6618,0.3673,0.0015,-0.005,-0.0555,-0.0001,0,0.0004,,,
4.7,0.0114,0.6618,0.3673,0.0015,-0.005,-0.0555,-0.0001,0,0.0004,0.1745,-1.402,-2.9287
4.72,0.0115,0.6617,0.3661,0.0015,-0.005,-0.0555,-0.0001,0,0.0004,,,
4.72,0.0115,0.6617,0.3661,0.0015,-0.005,-0.0555,-0.0001,0,0.0004,0.1747,-1.4018,-2.9296
4.74,0.0115,0.6616,0.365,0.0015,-0.005,-0.0554,-0.0001,0,0.0004,,,
4.74,0.0115,0.6616,0.365,0.0015,-0.005,-0.0554,-0.0001,0,0.0004,0.1748,-1.4015,-2.9304
4.76,0.0115,0.6614,0.3639,0.0015,-0.005,-0.0554,-0.0001,0,0.0004,,,
4.76,0.0115,0.6614,0.3639,0.0015,-0.005,-0.0554,-0.0001,0,0.0004,0.1749,-1.4013,-2.9311
4.78,0.0116,0.6613,0.3627,0.0015,-0.005,-0.0553,-0.0001,0,0.0004,,,
4.78,0.0116,0.6613,0.3627,0.0015,-0.005,-0.0553,-0.0001,0,0.0004,0.1749,-1.4011,-2.9317
4.8,0.0116,0.6612,0.3616,0.0015,-0.005,-0.0553,-0.0001,0,0.0004,,,
4.8,0.0116,0.6612,0.3616,0.0015,-0.005,-0.0553,-0.0001,0,0.0004,0.175,-1.4008,-2.9325
4.82,0.0116,0.6611,0.3605,0.0015,-0.005,-0.0553,-0.0001,0,0.0004,,,
4.82,0.0116,0.6611,0.3605,0.0015,-0.005,-0.0553,-0.0001,0,0.0004,0.1752,-1.4006,-2.9333
4.84,0.0117,0.661,0.3593,0.0014,-0.005,-0.0552,-0.0001,0,0.0004,,,
4.84,0.0117,0.661,0.3593,0.0014,-0.005,-0.0552,-0.0001,0,0.0004,0.1752,-1.4004,-2.9339
4.86,0.0117,0.6608,0.3582,0.0014,-0.005,-0.0552,-0.0001,0,0.0003,,,
4.86,0.0117,0.6608,0.3582,0.0014,-0.005,-0.0552,-0.0001,0,0.0003,0.1753,-1.4001,-2.9347
4.88,0.0117,0.6607,0.3571,0.0014,-0.005,-0.0552,-0.0001,0,0.0003,,,
4.88,0.0117,0.6607,0.3571,0.0014,-0.005,-0.0552,-0.0001,0,0.0003,0.1754,-1.3999,-2.9354
4.9,0.0118,0.6606,0.356,0.0014,-0.005,-0.0551,-0.0001,0,0.0003,,,
4.9,0.0118,0.6606,0.356,0.0014,-0.005,-0.0551,-0.0001,0,0.0003,0.1755,-1.3996,-2.9361
4.92,0.0118,0.6605,0.3548,0.0014,-0.005,-0.0551,-0.0001,0,0.0003,,,
4.92,0.0118,0.6605,0.3548,0.0014,-0.005,-0.0551,-0.0001,0,0.0003,0.1755,-1.3994,-2.9367
4.94,0.0118,0.6604,0.3537,0.0014,-0.005,-0.0551,-0.0001,0,0.0003,,,
4.94,0.0118,0.6604,0.3537,0.0014,-0.005,-0.0551,-0.0001,0,0.0003,0.1756,-1.3991,-2.9375
4.96,0.0119,0.6602,0.3526,0.0015,-0.0049,-0.055,0.0007,0.0013,0.0003,,,
4.96,0.0119,0.6602,0.3526,0.0015,-0.0049,-0.055,0.0007,0.0013,0.0003,0.1829,-1.3993,-2.946
4.98,0.0119,0.6601,0.3514,0.0015,-0.0049,-0.055,0.0008,-0.0002,0.0001,,,
4.98,0.0119,0.6601,0.3514,0.0015,-0.0049,-0.055,0.0008,-0.0002,0.0001,0.1839,-1.4017,-2.947
5,0.0119,0.6599,0.3502,0.0015,-0.0065,-0.0574,-0.0008,-0.0154,-0.0237,,,
5,0.0119,0.6599,0.3502,0.0015,-0.0065,-0.0574,-0.0008,-0.0154,-0.0237,0.1525,-1.3923,-2.9148
5.02,0.012,0.6598,0.349,0.0014,-0.0067,-0.0585,-0.0004,-0.0026,-0.0106,,,
5.02,0.012,0.6598,0.349,0.0014,-0.0067,-0.0585,-0.0004,-0.0026,-0.0106,0.1601,-1.3613,-2.9319
5.04,0.012,0.6597,0.3478,0.0014,-0.007,-0.0595,-0.0004,-0.0026,-0.0107,,,
5.04,0.012,0.6597,0.3478,0.0014,-0.007,-0.0595,-0.0004,-0.0026,-0.0107,0.1576,-1.355,-2.931
5.06,0.012,0.6595,0.3466,0.0013,-0.0072,-0.0606,-0.0004,-0.0026,-0.0106,,,
5.06,0.012,0.6595,0.3466,0.0013,-0.0072,-0.0606,-0.0004,-0.0026,-0.0106,0.1556,-1.3488,-2.9305
5.08,0.012,0.6594,0.3454,0.0013,-0.0075,-0.0617,-0.0004,-0.0026,-0.0106,,,
5.08,0.012,0.6594,0.3454,0.0013,-0.0075,-0.0617,-0.0004,-0.0026,-0.0106,0.1536,-1.3427,-2.93
5.1,0.0121,0.6592,0.3441,0.0012,-0.0077,-0.0627,-0.0004,-0.0025,-0.0106,,,
5.1,0.0121,0.6592,0.3441,0.0012,-0.0077,-0.0627,-0.0004,-0.0025,-0.0106,0.1516,-1.3365,-2.9296
5.12,0.0121,0.6591,0.3428,0.0012,-0.008,-0.0638,-0.0005,-0.0025,-0.0106,,,
5.12,0.0121,0.6591,0.3428,0.0012,-0.008,-0.0638,-0.0005,-0.0025,-0.0106,0.1496,-1.3304,-2.9291
5.14,0.0121,0.6589,0.3415,0.0012,-0.0082,-0.0648,-0.0005,-0.0025,-0.0106,,,
5.14,0.0121,0.6589,0.3415,0.0012,-0.0082,-0.0648,-0.0005,-0.0025,-0.0106,0.1476,-1.3243,-2.9286
5.16,0.0121,0.6587,0.3402,0.0011,-0.0085,-0.0659,-0.0005,-0.0025,-0.0106,,,
5.16,0.0121,0.6587,0.3402,0.0011,-0.0085,-0.0659,-0.0005,-0.0025,-0.0106,0.1455,-1.3182,-2.9281
5.18,0.0122,0.6586,0.3389,0.0011,-0.0087,-0.0669,-0.0005,-0.0025,-0.0106,,,
5.18,0.0122,0.6586,0.3389,0.0011,-0.0087,-0.0669,-0.0005,-0.0025,-0.0106,0.1435,-1.3122,-2.9277
5.2,0.0122,0.6584,0.3375,0.001,-0.009,-0.068,-0.0005,-0.0025,-0.0106,,,
5.2,0.0122,0.6584,0.3375,0.001,-0.009,-0.068,-0.0005,-0.0025,-0.0106,0.1415,-1.3061,-2.9272
5.22,0.0122,0.6582,0.3361,0.001,-0.0092,-0.0691,-0.0005,-0.0025,-0.0105,,,
5.22,0.0122,0.6582,0.3361,0.001,-0.0092,-0.0691,-0.0005,-0.0025,-0.0105,0.1395,-1.3001,-2.9267
5.24,0.0122,0.658,0.3347,0.0009,-0.0095,-0.0701,-0.0005,-0.0024,-0.0105,,,
5.24,0.0122,0.658,0.3347,0.0009,-0.0095,-0.0701,-0.0005,-0.0024,-0.0105,0.1375,-1.2941,-2.9262
5.26,0.0122,0.6578,0.3333,0.0008,-0.0097,-0.0712,-0.0005,-0.0024,-0.0105,,,
